,user,churn,age,housing,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,reward_rate,is_referred
0,55409,0,37.0,na,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,1,0,0.0,0
1,23547,0,28.0,R,0,0,1,0,0,96,0,0,5,1,1,1,0,0,Weekly,0,0,0,0,Leo,0,0,1.47,1
2,58313,0,35.0,R,47,2,86,47,0,285,0,0,9,1,0,0,1,2,Semi-Monthly,0,0,0,0,Capricorn,1,0,2.17,0
3,8095,0,26.0,R,26,3,38,25,0,74,0,0,26,1,0,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,1.1,1
4,61353,1,27.0,na,0,0,2,0,0,0,0,0,0,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,0.03,0
5,3120,1,32.0,R,5,3,111,5,0,227,0,0,17,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,1.83,0
6,41406,0,21.0,na,0,0,4,0,0,0,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,0.06999999999999999,0
7,67679,0,24.0,na,0,0,2,0,0,0,0,0,0,1,0,0,1,0,na,0,0,0,0,Leo,0,0,0.11,0
8,21269,0,28.0,R,0,0,0,0,2,47,1,0,9,1,1,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.87,1
9,25788,0,23.0,na,1,0,87,1,0,125,0,0,3,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,1.0699999999999998,0
10,13840,0,32.0,R,0,0,30,0,0,70,0,0,3,1,1,1,0,0,Monthly,0,0,0,0,Virgo,0,0,0.83,1
11,25899,0,41.0,O,14,0,116,13,0,217,0,0,45,1,1,1,0,0,Semi-Monthly,0,0,0,0,Virgo,0,0,2.17,0
12,20839,0,20.0,na,0,0,135,0,0,286,0,0,21,1,1,1,1,5,Bi-Weekly,0,0,0,0,Libra,0,0,2.2,1
13,13019,0,27.0,O,2,1,48,2,0,127,0,0,18,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,1.0,0
14,24387,0,47.0,na,11,1,20,11,0,30,0,0,10,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,0.6900000000000001,1
15,65427,1,44.0,na,0,0,0,0,1,4,0,0,1,1,0,0,1,2,Semi-Monthly,0,0,0,0,Libra,0,0,0.06999999999999999,0
16,30419,1,24.0,na,6,2,24,6,0,55,0,0,4,1,0,0,1,0,Weekly,0,0,0,0,Capricorn,0,0,0.9,0
17,30693,0,31.0,R,17,2,62,17,0,180,0,0,22,1,1,0,1,0,na,0,0,0,0,Libra,0,0,1.4300000000000002,0
18,69531,0,20.0,na,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Monthly,0,0,0,0,Sagittarius,1,0,0.0,0
19,34733,1,30.0,na,2,1,0,2,0,9,0,0,2,1,1,0,1,0,Bi-Weekly,0,0,0,0,Libra,1,0,0.06999999999999999,0
20,66712,1,59.0,na,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bi-Weekly,0,0,0,0,Gemini,0,0,0.0,0
21,15359,1,21.0,na,0,0,0,0,0,3,0,0,0,1,1,0,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.0,0
22,25997,0,37.0,R,0,0,39,0,0,74,0,0,6,1,1,1,0,2,na,0,1,0,0,Scorpio,0,0,1.33,0
23,13813,1,30.0,R,6,0,11,6,0,20,0,0,3,1,0,0,1,2,Bi-Weekly,0,0,0,0,Gemini,0,0,0.4,0
24,67807,0,36.0,na,0,0,2,0,0,0,0,0,0,1,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,0.5,0
25,19184,1,44.0,O,0,0,0,0,3,4,3,1,4,1,1,1,0,0,Monthly,0,0,0,0,Scorpio,0,1,0.16999999999999998,0
26,34210,1,52.0,na,0,0,0,0,0,74,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,1,0,1.3,0
27,57598,1,25.0,na,0,0,0,0,0,32,0,0,7,1,0,0,1,0,Monthly,0,0,0,0,Virgo,0,0,0.47,0
28,57608,1,22.0,na,0,0,0,0,1,67,1,0,5,1,0,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,0.9,0
29,8381,0,38.0,na,0,0,27,0,0,30,0,0,2,1,0,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,1.0,0
30,46960,0,29.0,na,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Monthly,0,0,0,0,Cancer,0,0,0.25,0
31,28827,0,25.0,na,0,0,3,0,0,3,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,0.14,0
32,25823,1,36.0,na,0,0,83,0,0,153,0,0,15,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,0.97,1
33,29059,0,38.0,na,0,0,11,0,0,28,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.27,0
34,42910,0,45.0,R,48,0,76,48,0,204,0,0,58,1,1,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,1.93,1
35,57211,0,24.0,na,0,0,2,0,0,4,0,0,0,1,1,0,1,2,Monthly,0,0,0,0,Pisces,0,0,0.03,0
36,58305,1,31.0,na,0,0,0,0,0,63,0,0,2,1,1,1,0,2,Weekly,0,0,0,0,Leo,1,0,0.7,0
37,2707,0,45.0,R,0,0,0,0,0,170,0,0,16,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,1.97,0
38,6919,0,28.0,R,0,0,0,0,0,207,0,0,4,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,2.17,0
39,44486,0,24.0,na,0,0,37,0,0,60,0,0,4,1,1,0,1,2,Bi-Weekly,0,0,0,0,na,0,0,0.77,1
40,43254,1,42.0,na,0,0,0,0,0,5,0,0,0,1,1,0,1,0,na,0,0,0,0,Scorpio,0,0,0.23,0
41,16514,0,27.0,R,0,0,0,0,2,206,0,0,22,1,1,0,1,0,na,0,0,0,0,Taurus,0,0,2.23,0
42,8169,0,26.0,R,0,0,57,0,0,154,0,0,2,1,1,0,1,0,Bi-Weekly,0,0,1,0,Aquarius,1,0,1.3,1
43,62560,0,25.0,na,1,0,1,1,0,1,0,0,0,1,0,1,0,0,Weekly,0,0,0,0,Taurus,0,0,0.0,0
44,23859,0,32.0,R,0,0,87,0,0,112,0,0,8,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,1,0,1.23,1
45,2351,0,21.0,na,1,0,26,1,0,133,0,0,6,1,1,0,1,0,na,0,0,0,0,Leo,0,0,1.27,1
46,3606,0,33.0,na,0,0,68,0,0,169,0,0,8,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,1.6,0
47,46400,1,38.0,R,12,2,79,12,0,105,0,0,12,1,1,1,0,4,na,0,0,0,0,Pisces,0,0,1.23,1
48,11790,0,29.0,R,2,0,57,2,0,185,0,0,5,1,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,1.53,1
49,31936,0,43.0,na,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,0.06999999999999999,0
50,19701,0,33.0,na,0,0,24,0,0,24,0,0,2,1,0,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,0.37,0
51,40595,1,24.0,R,3,0,56,3,0,93,0,0,8,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,0.83,0
52,48111,0,25.0,na,0,0,10,0,0,20,0,0,1,1,1,1,0,0,Weekly,0,0,0,0,na,0,0,0.2,1
53,53996,1,19.0,O,0,0,1,0,0,2,0,0,0,1,1,0,1,0,Semi-Monthly,0,0,0,0,Virgo,0,0,0.0,0
54,36757,0,40.0,na,0,0,22,0,0,40,0,0,2,1,1,0,1,0,Weekly,0,1,0,0,na,0,0,0.5700000000000001,1
55,49320,1,22.0,na,0,0,0,0,0,11,0,0,0,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.06999999999999999,1
56,34312,0,36.0,na,0,0,24,0,0,69,0,0,0,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,0.62,0
57,62235,0,27.0,na,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bi-Weekly,0,0,0,0,Gemini,1,0,0.0,0
58,1826,1,48.0,O,33,0,16,31,0,185,0,0,14,1,1,1,0,2,Bi-Weekly,0,0,0,0,na,0,0,1.5699999999999998,0
59,10539,1,39.0,na,0,0,8,0,0,23,0,0,3,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,0.13,0
60,8143,0,32.0,R,0,0,59,0,2,289,0,0,14,1,1,1,0,0,na,0,0,0,0,Scorpio,0,0,2.23,1
61,51024,0,25.0,na,0,0,2,0,0,5,0,0,0,1,0,0,1,0,Monthly,0,0,0,0,Libra,0,0,0.06999999999999999,0
62,37910,0,49.0,na,5,1,19,5,0,35,0,0,5,1,0,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,0.6900000000000001,1
63,21204,1,25.0,na,14,5,23,14,0,43,0,0,11,1,0,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,0.37,1
64,46727,0,21.0,R,11,2,53,11,0,145,0,0,11,1,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,0.93,0
65,36721,1,30.0,O,1,1,48,1,0,224,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,1.77,1
66,989,0,26.0,O,0,0,0,0,0,57,0,0,5,1,1,1,0,0,na,0,0,0,0,Aquarius,0,0,0.97,0
67,8508,0,33.0,R,0,0,116,0,0,205,0,0,7,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,2.03,1
68,50946,1,30.0,na,0,0,0,0,0,16,0,0,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,na,0,1,0.47,0
69,65668,1,42.0,R,0,0,5,0,0,50,0,0,0,1,0,1,0,0,na,0,0,0,0,Taurus,0,0,0.47,0
70,63330,1,20.0,na,0,0,4,0,0,0,0,0,0,1,0,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,0.06999999999999999,0
71,50130,1,34.0,na,0,0,0,0,0,27,0,0,1,1,1,0,1,0,Weekly,0,0,0,0,Aquarius,0,0,0.67,0
72,55422,0,26.0,R,10,0,37,10,0,77,0,0,4,1,0,1,1,5,Semi-Monthly,0,0,0,0,Cancer,0,0,0.67,1
73,32734,0,31.0,na,8,3,51,8,0,101,0,0,7,1,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,0.8099999999999998,1
74,4664,0,29.0,na,0,0,7,0,0,12,0,0,0,1,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,0.46,0
75,42253,0,30.0,R,13,0,89,12,0,257,0,0,44,1,1,0,1,0,Bi-Weekly,0,0,0,0,na,0,0,2.17,0
76,41211,0,20.0,R,3,0,63,3,0,107,0,0,6,1,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,1.23,0
77,259,1,23.0,na,0,0,0,0,0,145,1,0,19,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,1.7,0
78,67347,1,22.0,na,0,0,2,0,0,0,0,0,0,1,0,0,1,0,Semi-Monthly,0,0,0,0,Leo,0,0,0.0,0
79,3885,0,48.0,na,0,0,0,0,0,187,0,0,11,1,0,1,0,0,Monthly,0,0,0,0,Taurus,0,0,1.87,1
80,40538,1,35.0,O,0,0,0,0,0,36,0,0,15,1,0,0,1,0,Monthly,0,0,0,0,Aries,0,0,2.0,1
81,1011,0,46.0,R,7,2,57,7,0,168,0,0,24,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,1.1,0
82,38492,0,34.0,R,0,0,0,0,1,222,9,0,24,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,2.1,0
